Time [s],Channel 0,Channel 1,Channel 2,Channel 3
15.360267083,1,0,0,0
15.361903750,0,0,0,0
15.362516083,1,0,0,0
15.364151417,0,0,0,0
15.364754250,1,0,0,0
15.366399167,0,0,0,0
15.367003333,1,0,0,0
15.368646750,0,0,0,0
15.369252250,1,0,0,0
15.370894417,0,0,0,0
15.371501250,1,0,0,0
15.372018667,0,0,0,0
15.372631167,1,0,0,0
15.374266583,0,0,0,0
15.374880083,1,0,0,0
15.376514250,0,0,0,0
15.377118167,1,0,0,0
15.377638417,0,0,0,0
15.378248000,1,0,0,0
15.378762583,0,0,0,0
15.379367167,1,0,0,0
15.381010250,0,0,0,0
15.381616167,1,0,0,0
15.382134417,0,0,0,0
15.382746083,1,0,0,0
15.383258583,0,0,0,0
15.383865167,1,0,0,0
15.384382750,0,0,0,0
15.384995083,1,0,0,0
15.385507583,0,0,0,0
15.386114167,1,0,0,0
15.386631750,0,0,0,0
15.387244083,1,0,0,0
15.388879333,0,0,0,0
15.389482083,1,0,0,0
15.391127000,0,0,0,0
15.391730917,1,0,0,0
15.392251167,0,0,0,0
15.392860750,1,0,0,0
15.394498833,0,0,0,0
15.395109583,1,0,0,0
15.396746500,0,0,0,0
15.397358417,1,0,0,0
15.398994167,0,0,0,0
15.399607417,1,0,0,0
15.401242500,0,0,0,0
15.401845500,1,0,0,0
15.441648583,0,0,0,0
15.450657500,1,0,0,0
15.452873417,0,0,0,0
15.453514833,1,0,0,0
15.549360500,0,0,0,0
15.558398167,1,0,0,0
15.560585417,0,0,0,0
15.561222833,1,0,0,0
16.777882250,0,0,0,0
16.786916500,1,0,0,0
16.791350083,0,0,0,0
16.791990167,1,0,0,0
16.792474083,0,0,0,0
16.793109167,1,0,0,0
16.793598250,0,0,0,0
16.794239000,1,0,0,0
16.794722417,0,0,0,0
16.795358083,1,0,0,0
16.795846583,0,0,0,0
16.796488000,1,0,0,0
16.796970750,0,0,0,0
16.797607000,1,0,0,0
16.798094917,0,0,0,0
16.798736917,1,0,0,0
16.800342583,0,0,0,0
16.800985917,1,0,0,0
16.801467333,0,0,0,0
16.802104917,1,0,0,0
16.803715000,0,0,0,0
16.804353917,1,0,0,0
16.805962750,0,0,0,0
16.806602917,1,0,0,0
16.808210417,0,0,0,0
16.808851750,1,0,0,0
16.810458083,0,0,0,0
16.811100750,1,0,0,0
16.812705750,0,0,0,0
16.813349750,1,0,0,0
16.814953417,0,0,0,0
16.815588000,1,0,0,0
16.816077583,0,0,0,0
16.816717917,1,0,0,0
16.818325583,0,0,0,0
16.818966833,1,0,0,0
16.819449750,0,0,0,0
16.820086000,1,0,0,0
16.820573917,0,0,0,0
16.821216000,1,0,0,0
16.821698083,0,0,0,0
16.822335000,1,0,0,0
16.822822250,0,0,0,0
16.823464833,1,0,0,0
16.825069917,0,0,0,0
16.825713833,1,0,0,0
16.826194083,0,0,0,0
16.826832833,1,0,0,0
16.827318250,0,0,0,0
16.827952000,1,0,0,0
16.828443083,0,0,0,0
16.829081833,1,0,0,0
16.830690750,0,0,0,0
16.831330917,1,0,0,0
16.832938333,0,0,0,0
16.833579750,1,0,0,0
16.835186083,0,0,0,0
16.835828667,1,0,0,0
16.837433750,0,0,0,0
16.838077667,1,0,0,0
16.838557917,0,0,0,0
16.839196583,1,0,0,0
16.840805500,0,0,0,0
16.841445667,1,0,0,0
16.843053167,0,0,0,0
16.843694667,1,0,0,0
16.845301500,0,0,0,0
16.845943583,1,0,0,0
16.885707583,0,0,0,0
16.894747000,1,0,0,0
16.896932833,0,0,0,0
16.897571833,1,0,0,0
16.993418917,0,0,0,0
17.002456000,1,0,0,0
17.004643833,0,0,0,0
17.005280833,1,0,0,0
17.101130167,0,0,0,0
17.110165250,1,0,0,0
17.112355000,0,0,0,0
17.112990000,1,0,0,0
18.966528000,1,0,0,0
